mean_radius,std_radius,min_radius,max_radius,porosity,total_surface_area,Sample ID,Angle
9.952225225225225e-06,1.5355537586388807e-06,7.531e-06,1.287e-05,0.7642564986393817,0.006941015959285367,1.0,75.0
9.41308938547486e-06,1.6343435471158026e-06,7.511e-06,1.31e-05,0.6578042784054751,0.010586809101035093,2.0,64.0
8.272708333333333e-06,4.561771269809081e-07,7.515e-06,9.152e-06,0.7239588565718224,0.009979960214511767,3.0,86.0
1.1063047999999999e-05,2.976322745552975e-06,7.507e-06,1.855e-05,0.6563895388506796,0.008688897580777814,4.0,80.0
9.34328125e-06,1.2102304657681682e-06,7.519e-06,1.164e-05,0.7620457198651602,0.007514312636268354,5.0,84.0
9.00742487046632e-06,1.1570402726534983e-06,7.507e-06,1.141e-05,0.666631322203431,0.01092289668311613,6.0,62.0
1.1754732394366196e-05,2.723599544294829e-06,7.505e-06,1.734e-05,0.7835021123193253,0.005243858492777782,7.0,77.0
9.85762893081761e-06,2.0113975008269296e-06,7.51e-06,1.48e-05,0.6629332396395726,0.009848032172616917,8.0,68.0
8.771632183908046e-06,8.925783923837742e-07,7.504e-06,1.047e-05,0.716702660999772,0.009589799539677145,9.0,76.0
9.340064171122994e-06,1.6201465392723868e-06,7.503e-06,1.342e-05,0.6480550624955588,0.01097416119203741,10.0,74.0
1.2103363636363634e-05,2.6708774953264557e-06,7.624e-06,1.701e-05,0.7876440474708633,0.005019146653451812,11.0,72.0
9.754683823529411e-06,1.5827677391862995e-06,7.503e-06,1.272e-05,0.7218302883345729,0.008335506106360805,12.0,74.0
6.1431719745222925e-06,6.467703712291735e-07,5.145e-06,7.493e-06,0.7490651112842057,0.012119987997395906,13.0,75.0
1.026650641025641e-05,2.6981198570077317e-06,7.503e-06,1.759e-05,0.6318422709864058,0.010062992508346146,14.0,75.0
8.38597619047619e-06,7.052680033689064e-07,7.501e-06,9.931e-06,0.6885085767770212,0.011065034901135145,15.0,66.0
8.897263473053894e-06,9.87144337246584e-07,7.519e-06,1.081e-05,0.719714005337283,0.009335826906375638,16.0,73.0
6.976204651162791e-06,2.804067394219519e-07,6.512e-06,7.497e-06,0.780498958218582,0.009424049111273747,17.0,83.0
7.598521008403361e-06,5.827893644016308e-08,7.5e-06,7.7e-06,0.712181136088136,0.011362813902398308,18.0,75.0
6.838788194444446e-06,3.65015639314211e-07,6.297e-06,7.494e-06,0.7170922304059253,0.012375179568647005,19.0,62.0
1.1162829787234046e-05,2.623724851939926e-06,7.517e-06,1.678e-05,0.7411261912474141,0.006592984041935384,20.0,76.0
1.141904761904762e-05,2.7253970418688842e-06,7.553e-06,1.691e-05,0.6969126298589774,0.007533539183308324,21.0,90.0
1.0451426086956518e-05,1.9881204322758e-06,7.53e-06,1.406e-05,0.7273879422334484,0.007551848385293446,22.0,77.0
6.173526984126984e-06,6.582195429582552e-07,5.221e-06,7.499e-06,0.7457008119023291,0.012218665422645162,23.0,65.0
1.2044835443037974e-05,3.0708980149934357e-06,7.608e-06,1.849e-05,0.744354582503663,0.0059787147135642775,24.0,60.0
1.1779768115942027e-05,2.8050639257224072e-06,7.532e-06,1.678e-05,0.7880982955467455,0.005106998150416797,25.0,84.0
1.0269608695652174e-05,2.8746129443457537e-06,7.51e-06,1.811e-05,0.6165110158003335,0.010388662569187877,26.0,87.0
8.075551020408163e-06,3.505035286375789e-07,7.506e-06,8.645e-06,0.7988418448627899,0.00745880697726473,27.0,64.0
1.2294636363636363e-05,3.376758138638227e-06,7.53e-06,1.972e-05,0.7003898494533893,0.0067979541130261945,28.0,82.0
1.2169822784810126e-05,3.388207224542631e-06,7.51e-06,1.879e-05,0.7359558761820197,0.006040754885287371,29.0,60.0
7.971248554913295e-06,2.712750061688326e-07,7.504e-06,8.437e-06,0.7695057430995489,0.008664675901418634,30.0,69.0
9.727954838709678e-06,1.6306305779763319e-06,7.509e-06,1.332e-05,0.6841595737244821,0.009473994151280515,31.0,71.0
6.427495176848874e-06,5.752005766277907e-07,5.6e-06,7.492e-06,0.7287518736270715,0.012559779552971941,32.0,66.0
1.076916091954023e-05,1.843240330676832e-06,7.58e-06,1.481e-05,0.7824887857236595,0.005886823128446775,33.0,73.0
7.4689057377049175e-06,1.7956097640873357e-08,7.438e-06,7.5e-06,0.7149212099318676,0.01145055858521307,34.0,85.0
9.525065359477124e-06,1.3395166022689985e-06,7.553e-06,1.222e-05,0.7035228799894172,0.009156705859638563,35.0,83.0
9.13802564102564e-06,1.3489241541693558e-06,7.505e-06,1.228e-05,0.6515344119012945,0.011196102146642913,36.0,61.0
8.754591836734695e-06,9.520646987183203e-07,7.5e-06,1.076e-05,0.6816589844940435,0.010781317668589451,37.0,82.0
1.0819019607843136e-05,2.0478810808208955e-06,7.631e-06,1.447e-05,0.7409863624350987,0.006933746313884961,38.0,67.0
9.401261538461539e-06,1.2985023773198589e-06,7.519e-06,1.203e-05,0.7547656542626885,0.0076790828877638315,39.0,63.0
8.5353961352657e-06,7.294184418882665e-07,7.505e-06,1.009e-05,0.6818466612076057,0.011101301446728187,40.0,81.0
1.1102045112781955e-05,3.156189090804321e-06,7.519e-06,1.91e-05,0.6289181672945843,0.009277575495392775,41.0,77.0
7.751953586497889e-06,1.4274713545717776e-07,7.501e-06,8.004e-06,0.7016153165749942,0.011543549727759329,42.0,68.0
1.1502442857142858e-05,2.5238400256961854e-06,7.561e-06,1.692e-05,0.7966904237590443,0.005059038596967093,43.0,87.0
9.174555555555555e-06,1.436356974440787e-06,7.503e-06,1.285e-05,0.6586444550538966,0.010894986773981638,44.0,71.0
1.0785894230769229e-05,2.2717904109985978e-06,7.534e-06,1.615e-05,0.7353597582010749,0.007048056304178479,45.0,86.0
7.096721189591079e-06,2.215751493287816e-07,6.757e-06,7.499e-06,0.7159795997001078,0.011994713848741359,46.0,79.0
8.885903225806452e-06,8.641975339767696e-07,7.509e-06,1.038e-05,0.7929992437140689,0.006923140297086442,47.0,84.0
1.0114446540880503e-05,2.701382405589807e-06,7.519e-06,1.826e-05,0.6350240111416013,0.010104599761450287,48.0,70.0
9.714698275862071e-06,1.3549562228570696e-06,7.508e-06,1.249e-05,0.766254883821904,0.007080552938587212,49.0,88.0
1.2439646153846153e-05,3.1889077823015934e-06,7.555e-06,1.933e-05,0.7754932982338965,0.005080439126123348,50.0,81.0
9.722966292134832e-06,2.088572779984156e-06,7.503e-06,1.527e-05,0.6313051713839304,0.010874233412912023,51.0,81.0
9.442783783783785e-06,1.6602814924980732e-06,7.515e-06,1.378e-05,0.6438334616855939,0.010976190660891628,52.0,60.0
8.31968309859155e-06,5.138190804756294e-07,7.509e-06,9.279e-06,0.7933602469533263,0.007422923705975428,53.0,78.0
7.936060344827586e-06,3.023134018038663e-07,7.501e-06,8.485e-06,0.693531191183276,0.01156838715927861,54.0,68.0
7.383295999999999e-06,6.856967539663577e-08,7.266e-06,7.5e-06,0.7145456676531368,0.011597654236439452,55.0,61.0
1.0931655913978494e-05,2.2305707668937425e-06,7.609e-06,1.57e-05,0.7575461445911886,0.006387762643432283,56.0,65.0
1.013039375e-05,2.1942051410957312e-06,7.503e-06,1.559e-05,0.6399670689236381,0.010184182586551026,57.0,83.0
7.331450450450451e-06,1.0123006877465518e-07,7.155e-06,7.495e-06,0.7500378874794797,0.010226399308629966,58.0,63.0
6.606509868421052e-06,4.471024107428721e-07,5.983e-06,7.5e-06,0.7208350303996147,0.01261901742404803,59.0,63.0
1.1866333333333335e-05,3.2159685651395622e-06,7.626e-06,1.904e-05,0.7530733096323504,0.005815552957507439,60.0,70.0
1.1706986666666668e-05,3.0781555104459694e-06,7.542e-06,1.91e-05,0.7698334476557931,0.005516787496151049,61.0,71.0
6.931772321428571e-06,3.130927762745817e-07,6.426e-06,7.498e-06,0.7741186757700896,0.009756008640607966,62.0,80.0
6.460145061728395e-06,5.289632597748759e-07,5.714e-06,7.487e-06,0.7149046232860783,0.013151253485048598,63.0,89.0
1.1909473684210527e-05,2.9351369172479317e-06,7.543e-06,1.744e-05,0.7605217326405853,0.005687036685234387,64.0,62.0
9.622848314606741e-06,1.7281786231162668e-06,7.502e-06,1.37e-05,0.643653870991699,0.010762260767552777,65.0,69.0
8.764562814070352e-06,9.053816290910693e-07,7.503e-06,1.05e-05,0.6764197650026418,0.01095880508714666,66.0,79.0
7.676453744493393e-06,1.0594226389373747e-07,7.5e-06,7.865e-06,0.7197868863074955,0.010948795972952324,67.0,89.0
8.11301321585903e-06,4.021507758557433e-07,7.506e-06,8.928e-06,0.6862999334480461,0.011571453353708513,68.0,60.0
8.763360000000002e-06,7.923209221857853e-07,7.507e-06,1.02e-05,0.7567645420581472,0.008259272219028797,69.0,88.0
1.098988888888889e-05,2.4492067965157133e-06,7.511e-06,1.636e-05,0.7132388291977335,0.007457562906573909,70.0,66.0
9.079860606060605e-06,1.125714727289288e-06,7.522e-06,1.139e-05,0.7107151976837058,0.009413323713954392,71.0,87.0
1.0274823943661973e-05,2.3907166210075825e-06,7.55e-06,1.62e-05,0.6690263089121582,0.009167324442807696,72.0,88.0
1.0081480769230769e-05,2.08683567187861e-06,7.505e-06,1.548e-05,0.6536997815298143,0.009881634647639713,73.0,79.0
6.740738983050847e-06,3.9851768096239317e-07,6.167e-06,7.491e-06,0.7182843468825744,0.012494227080662137,74.0,73.0
7.851739316239317e-06,2.2272077396392108e-07,7.502e-06,8.265e-06,0.697618291740945,0.011544140347178204,75.0,85.0
7.212251256281407e-06,1.661318032956392e-07,6.944e-06,7.498e-06,0.7830879095385676,0.009017866313905816,76.0,66.0
1.013080606060606e-05,2.9648628950813113e-06,7.504e-06,1.969e-05,0.6149475304204104,0.010502865745331175,77.0,72.0
7.630409282700423e-06,7.163501311303639e-08,7.5e-06,7.762e-06,0.71097134496933,0.011362556291800715,78.0,90.0
6.299718631178707e-06,6.08453119310047e-07,5.383e-06,7.498e-06,0.7793574820163938,0.010410144779753126,79.0,72.0
9.37949142857143e-06,1.3310665191860093e-06,7.503e-06,1.212e-05,0.6710615399080708,0.010313289478242952,80.0,70.0
9.614227272727273e-06,2.03445348495315e-06,7.502e-06,1.463e-05,0.6440211811248161,0.010631802991019807,81.0,76.0
1.1011858490566039e-05,2.431361267284348e-06,7.514e-06,1.58e-05,0.7176694712058772,0.007334092032102523,82.0,69.0
1.105435e-05,2.2584736366626027e-06,7.513e-06,1.596e-05,0.7333848499729015,0.006945652950042065,83.0,64.0
1.158238888888889e-05,3.3040837616986935e-06,7.583e-06,1.79e-05,0.7265519391489793,0.006549686611983608,84.0,79.0
9.763592356687897e-06,1.781526844457079e-06,7.5e-06,1.411e-05,0.6761070950616401,0.009631394226410673,85.0,80.0
7.206888888888889e-06,1.5919844453525162e-07,6.972e-06,7.496e-06,0.7159422521534267,0.011818658996434188,86.0,86.0
1.2025278350515466e-05,3.0503955050048803e-06,7.629e-06,1.842e-05,0.6873175655545556,0.007329034067930243,87.0,67.0
9.428945945945945e-06,1.7768514599120752e-06,7.504e-06,1.414e-05,0.643292863333268,0.010960105706505246,88.0,67.0
6.5003482428115005e-06,4.971804496294252e-07,5.779e-06,7.497e-06,0.7213818444558378,0.01278382537465535,89.0,74.0
8.2621220657277e-06,5.704083325575914e-07,7.51e-06,9.479e-06,0.6940245900800227,0.011057350565504467,90.0,85.0
9.05445238095238e-06,9.821450031722585e-07,7.527e-06,1.116e-05,0.7081415100010671,0.009557654763645614,91.0,82.0
1.091726923076923e-05,2.230005951314796e-06,7.569e-06,1.526e-05,0.7295589667706326,0.007133903465030474,92.0,90.0
9.758707602339182e-06,2.048173874112541e-06,7.506e-06,1.512e-05,0.6439091908655941,0.010484996366317556,93.0,88.0
8.705187192118227e-06,9.662610201429946e-07,7.507e-06,1.1e-05,0.6738413018059544,0.011103349765138326,94.0,78.0
9.702718954248366e-06,1.662265661729079e-06,7.512e-06,1.363e-05,0.6894724161255616,0.009327489119473013,95.0,63.0
9.087530612244897e-06,1.243286265853045e-06,7.502e-06,1.178e-05,0.6546493528117197,0.011191333208994764,96.0,90.0
7.997232142857142e-06,3.509518557270574e-07,7.507e-06,8.748e-06,0.6993774140018959,0.011255572495575367,97.0,65.0
8.512751677852348e-06,6.205875967031153e-07,7.51e-06,9.631e-06,0.7726542819820474,0.007969592243626587,98.0,78.0
1.0636151999999997e-05,2.6334251796654486e-06,7.555e-06,1.614e-05,0.6856766975744186,0.008353614246416096,99.0,84.0
8.389022598870058e-06,6.326774595723109e-07,7.5e-06,9.629e-06,0.7376278239382786,0.00932963168566276,100.0,70.0
