i,E_avg,S_critical,k,f,R_squared
0,8.023477008561426e-05,0.7999999979346647,4.306204338025452,1.5,0.9791514288732546
1,0.00010483894295524737,0.7999999999656308,7.884090901220988,1.5,0.9929438923226084
2,0.00012997933696966076,0.7999999969843029,3.953488985293915,1.5,0.9900530493189236
3,0.00013069781235916454,0.7999999978188452,5.445924243280441,1.5,0.9893761802335876
4,0.0001429314272203096,0.7999999992857042,3.59567521230569,1.5,0.99589925265324
5,8.476860565883947e-05,0.7999999992728257,5.781256310777893,1.5,0.9833829544106938
6,9.640690859663781e-05,0.7999999999215585,6.795703957294985,1.5,0.9864336337312543
7,0.00013062132542976905,0.7999999993923947,4.309811525572505,1.5,0.9904761268454549
8,9.244536607460722e-05,0.7999999999998543,7.538728093544771,1.5,0.98822686644479
9,0.00014597822932635847,0.7999999988449967,3.2107694392171915,1.5,0.9951324515406295
10,8.303084033052905e-05,0.7999999998565053,6.216122240436051,1.5,0.9728461770289505
11,0.00019009117701005888,0.7999999997375625,2.9028643502467335,1.5,0.9988053775863165
12,9.945821569954133e-05,0.799999999605749,5.744537624247081,1.5,0.9812143503842572
13,0.0001227365612841949,0.7999999999486317,4.6058625146355485,1.5,0.995508991352089
14,0.0001620080224759412,0.7999999999971004,3.0587682259197266,1.5,0.9970353928758062
15,8.207259371286262e-05,0.7999999996427337,6.572372312909335,1.5,0.9660808237737989
16,0.00011063007163774932,0.7999999999663059,4.778112948215537,1.5,0.984429792361399
17,0.0001205272434743376,0.7999999993666235,3.845397032723202,1.5,0.9922726828489229
18,0.00012866193749445446,0.7999999991900136,3.389349156162761,1.5,0.9865956711410703
19,8.376025868958948e-05,0.7999999999162618,8.700281468221215,1.5,0.9845950325815657
20,7.680100337055958e-05,0.7999999999299389,7.807805790326042,1.5,0.9699152983575567
21,0.00010025439016429084,0.7999999996547499,6.205439944520846,1.5,0.9878648505202633
22,0.00010729820994628005,0.7999999993689056,5.046745143782419,1.5,0.986551259239482
23,0.00013582163187501826,0.799999999433566,3.317470837962568,1.5,0.9955860257067574
24,0.00011938286156706783,0.7999999985770744,4.696774900487339,1.5,0.9922492566909746
25,0.00010077338255459874,0.7999999990740693,4.854829964943818,1.5,0.9843152533067725
26,9.636347623393418e-05,0.7999999990598603,5.662985131463814,1.5,0.982763578583628
27,7.736332479105375e-05,0.7999999994884841,6.521760715036801,1.5,0.984153758638878
28,0.00016912313993198614,0.7999999991357812,2.5576940508949573,1.5,0.9987529184304833
29,0.0001579406557438914,0.7999999997031445,3.1431685294209886,1.5,0.997687241385875
30,0.00010873171416286861,0.7999999998904422,5.392450779725601,1.5,0.9861553082701087
31,0.00012088969247831432,0.7999999997554827,4.141503088393274,1.5,0.991493088911232
32,0.00010900108936210723,0.7999999996532229,4.276050754127756,1.5,0.9938750524370309
33,0.00013822543850787626,0.7999999977076124,3.181118220125577,1.5,0.9982783879559581
34,7.93444559847611e-05,0.7999999998327516,5.282698247322312,1.5,0.9871344340537439
35,9.49069729424615e-05,0.7999999995646362,4.580493351588538,1.5,0.9866240620885532
36,8.316241576126801e-05,0.7999999999480523,6.5117775518723455,1.5,0.9815676262100003
37,9.15068349773569e-05,0.7999999999922889,7.652853234126544,1.5,0.9869407019089981
38,0.0001203183902243275,0.7999999993123792,5.3665664250575515,1.5,0.9920497979274674
39,0.00013562799475463102,0.7999999987176681,4.095707685258285,1.5,0.9934851190009972
40,0.0001385904047850216,0.7999999977127685,3.449221355118774,1.5,0.9922173276522932
41,0.0001418845463805939,0.7999999996347359,3.5384387367686685,1.5,0.9962646001987956
42,6.015193080742949e-05,0.7999999999999999,9.99793778412507,1.5,0.9577943437907692
43,9.205960868510283e-05,0.799999999702525,5.943516601297129,1.5,0.9900171930335987
44,8.964105131254875e-05,0.7999999997652666,5.9315539647509645,1.5,0.990018079323031
45,0.0001352001133062013,0.799999996993562,4.233060959596545,1.5,0.9907740750548092
46,0.00013267563173443924,0.7999999997253248,4.642132538271803,1.5,0.9960284132066504
47,0.00010039077802888035,0.7999999997451785,5.344090394018366,1.5,0.9807607612394221
48,0.00011250915169384274,0.7999999995771719,3.9194528402875384,1.5,0.9929436041011133
49,6.307552668485974e-05,0.7999999999991545,8.62215895645613,1.5,0.9706049544725528
50,0.00013603864974124323,0.7999999998238497,4.368847911783265,1.5,0.9943510348991894
51,0.00013728246833027093,0.799999995080199,3.5578956821786143,1.5,0.9947970243311499
52,0.00012938823150275173,0.7999999995014829,4.188822057988024,1.5,0.9918131750773868
53,0.0001425015656561389,0.7999999978255451,2.6549538943187363,1.5,0.9966813663229527
54,0.00015362226418008716,0.7999999999812669,4.6530440707424905,1.5,0.9928952631891355
55,6.526285889312524e-05,0.7999999999999999,9.34873639565963,1.5,0.9709430550890009
56,0.00012310088504194965,0.7999999994503034,4.624459678802645,1.5,0.9949333112522126
57,0.00015103859709625,0.7999999996576662,3.097174325223477,1.5,0.9962805409298676
58,0.000122956446936879,0.799999999408334,3.7469070471476416,1.5,0.9947866809453413
59,8.066323119133753e-05,0.7999999999999999,10.468574849891038,1.5,0.9761960852872038
60,0.0001307673690854391,0.799999999926375,5.093468954398447,1.5,0.9918925275542696
61,8.735183921235598e-05,0.7999999997624702,5.079578375273729,1.5,0.9747860787255014
62,0.0001354426413188905,0.7999999957287829,3.1246366653521815,1.5,0.9946172516434741
63,0.00012593554430345916,0.7999999982826416,4.352690631210938,1.5,0.9925775028068619
64,0.00012711139003135623,0.7999999977924057,3.53798423011959,1.5,0.9901827631765902
65,0.00013758113239545892,0.7999999964636063,2.9408359930107544,1.5,0.9942333749183068
66,0.00014770924509564077,0.7999999993030872,3.4660345499157876,1.5,0.9965528992415654
67,9.245555034105258e-05,0.7999999996979374,7.258212156064743,1.5,0.9829550088542617
68,8.648140346713794e-05,0.79999999881407,7.725815322188023,1.5,0.97195102732071
69,8.929710968238108e-05,0.7999999999051927,7.53750512805152,1.5,0.9814081230000127
70,0.00011733271433553347,0.7999999984907189,3.4524622246168892,1.5,0.9890324353849497
71,0.0001125113414497268,0.7999999991283837,4.556038616365235,1.5,0.9903635105243779
72,7.043274771519012e-05,0.799999998041685,6.526002378725402,1.5,0.9742091974092949
73,9.879909839569055e-05,0.7999999974699338,4.690010792342879,1.5,0.9909355003208754
74,0.00011967122367197279,0.7999999997365849,2.998984317035193,1.5,0.9950306397398492
75,0.0001221961618168577,0.7999999998294532,3.821535821364662,1.5,0.988040186339422
76,0.00013211715530509778,0.7999999999273866,4.6117976123010544,1.5,0.9945034865264907
77,0.00012360300653609687,0.7999999999982399,3.7957050904197964,1.5,0.9919820593637231
78,9.944289655235256e-05,0.7999999999240409,6.818940935986222,1.5,0.9917629894781532
79,8.680112079690035e-05,0.7999999999667612,7.7917518764021985,1.5,0.9857886067183244
80,8.868463289085239e-05,0.7999999999538405,7.2296011009072485,1.5,0.9772473359296608
81,0.00010948293378722951,0.7999999995364553,4.842765259414681,1.5,0.991951600313076
82,0.0001530833783224381,0.7999999983043321,2.8918979702857555,1.5,0.9963938974730002
83,9.78100414501459e-05,0.7999999999726994,5.684005217903203,1.5,0.9912837529186403
84,0.00013105355653676284,0.7999999991673667,3.7880701435882074,1.5,0.9817195597984036
85,7.500692984345005e-05,0.7999999997845366,8.281974448600202,1.5,0.9865634009990287
86,0.00015814522377490054,0.7999999999820386,3.5293659081198006,1.5,0.9971306988949302
87,0.00012252070850825842,0.799999999745601,4.642288443351348,1.5,0.9909960144864088
88,0.0001325445358374927,0.7999999999403838,4.317264690079605,1.5,0.9932662300584036
89,0.00011762912771360341,0.7999999986805094,3.854157880996978,1.5,0.9879513768336846
90,0.00010441150833712813,0.7999999999285282,5.310357402545668,1.5,0.9898777983113619
91,0.00013928727794755664,0.799999999976195,3.0908050604239934,1.5,0.9933335389828021
92,0.0001419739939744979,0.7999999998379023,3.711666526779754,1.5,0.9967416874025228
