i,E_avg,S_critical,k,f,R_squared
0,0.00012811137231750333,0.7999999974016949,4.338087507954408,1.5,0.9798031988157598
1,7.597901181574051e-05,0.7999999995621249,6.33588328313525,1.5,0.9851783054208287
2,0.00010363437894851634,0.7999999997620754,6.405960537816625,1.5,0.9921969676820209
3,8.362302093838278e-05,0.7999999997525613,6.218325569607043,1.5,0.9787543390403023
4,0.00012808201477649148,0.7999999994227118,3.9619451872314153,1.5,0.9901429047722217
5,6.847053275296413e-05,0.79999999999997,11.066982887756762,1.5,0.9882344182202089
6,0.00015675790990553795,0.7999999999890759,3.313882663024799,1.5,0.9918136826576932
7,7.948210047385825e-05,0.7999999999385747,6.118036486390895,1.5,0.9859241653736124
8,9.181750538229587e-05,0.7999999999525148,5.073016832475555,1.5,0.9791114199574451
9,7.53582865750257e-05,0.7999999999010737,9.531308513082259,1.5,0.9871647049635346
10,0.00015037257978621734,0.7999999994583195,2.64982937089452,1.5,0.9923105545462928
11,0.00011361319935183376,0.799999999805011,5.092225011374039,1.5,0.99518847257005
12,7.320508129521725e-05,0.7999999998263857,7.034892169098498,1.5,0.9750676196075718
13,8.313757980600146e-05,0.7999999999208409,7.072772924083186,1.5,0.9788046452381692
14,6.958868866776672e-05,0.7999999993402003,6.910936137789391,1.5,0.9804072128580545
15,9.325284540452887e-05,0.7999999992018911,5.077654070956245,1.5,0.985930164725289
16,0.00011765028229951143,0.7999999997713724,5.073934827739512,1.5,0.9934017815589155
17,8.178042066095267e-05,0.7999999999451574,7.833798409827704,1.5,0.9851096706074781
18,5.863311058401418e-05,0.7999999999999999,8.696550073241074,1.5,0.9738234499992255
19,0.00012806014144754312,0.7999999998819787,3.622075062820751,1.5,0.9918542782508731
20,0.00013188544581840323,0.7999999996037321,5.004000778914894,1.5,0.9961920632094162
21,0.00012935666255879498,0.7999999983556673,4.5912978714856445,1.5,0.988518196400142
22,6.55404751023939e-05,0.7999999999999999,9.473910176617204,1.5,0.9707860758342272
23,0.00012979920966061447,0.7999999991555243,3.2759053499436575,1.5,0.9933346424709806
24,0.00017041375725970629,0.7999999983487319,2.825617708812101,1.5,0.9965335444959788
25,7.275643036274093e-05,0.7999999999999999,9.526395109708941,1.5,0.9711162166463562
26,0.00013799547415424508,0.7999999998195877,4.263629171877804,1.5,0.9949477085723893
27,0.00013329888656579147,0.7999999996004927,4.2572611375370695,1.5,0.9879118783169077
28,0.00017265514399968752,0.7999999999999909,3.7959896880609456,1.5,0.9994912665572964
29,0.00011986394276767542,0.7999999992673162,4.838461102788621,1.5,0.9943507728234827
30,8.82833015531749e-05,0.7999999997373041,6.224530254151946,1.5,0.9828279497687229
