i,E_avg,S_critical,k,f,R_squared
0,7.910901458274727e-05,0.7999999999903382,8.83192454025341,1.5,0.9859513138316875
1,0.0001209769090574449,0.799999999685016,5.180949373343918,1.5,0.9926551187089007
2,0.00016461142312575972,0.7999999994722636,3.520223322912846,1.5,0.9979545768048059
3,0.00013488182159232005,0.7999999929632708,3.3275803097954744,1.5,0.9934960277563553
4,9.64772980178759e-05,0.7999999996001617,5.026784183968605,1.5,0.9738526851441236
5,0.00010803953300948492,0.7999999940148552,4.703539604988477,1.5,0.988310956257383
6,0.00010717256472566606,0.7999999977926422,5.529162916922413,1.5,0.9947911826775538
7,0.0001610598464889031,0.7999999982434183,3.36457517157186,1.5,0.9991135190500806
8,0.00018509714551447488,0.7999999996771022,3.0869364420544163,1.5,0.9975735714369803
9,0.00013627355321493072,0.7999999998655579,3.3429467607728753,1.5,0.9951691304455621
10,8.248049097587123e-05,0.799999999968332,6.043201836026874,1.5,0.9772431815370617
11,0.00010395838151674496,0.7999999999777374,5.554238409030883,1.5,0.9852679987202518
12,7.431488266512508e-05,0.7999999999506715,8.345742912895032,1.5,0.9637674513077116
13,0.00010496149976346341,0.7999999999380829,4.405541679940291,1.5,0.9871664994811924
14,7.573040558754385e-05,0.7999999993298789,5.4581177858060235,1.5,0.9684573806004109
15,0.00010709602793583436,0.7999999992125586,4.823818656826575,1.5,0.988721646615011
16,8.727126648662104e-05,0.7999999997777578,6.402767338752901,1.5,0.9788964357480595
17,0.0001601546483646693,0.7999999998888209,3.1173117783115996,1.5,0.9965029565901006
18,9.932053324602339e-05,0.7999999998961987,6.984270540596815,1.5,0.985720457472531
19,0.00011232607216323753,0.799999998754314,5.226302350433878,1.5,0.9901080996899737
20,0.00015422938358784186,0.7999999996729635,2.856678869917192,1.5,0.9970077688478792
21,0.00011607978728726316,0.7999999995505522,3.59343708819611,1.5,0.9931646127744794
22,0.00012155873755588856,0.7999999993475134,3.8245620367649797,1.5,0.9932921979589592
23,0.00011387792892778545,0.7999999998122833,5.946937770272193,1.5,0.9827627424380592
24,7.635688457741063e-05,0.7999999999976375,5.335458571003051,1.5,0.9764155303808919
25,0.00010167634964002255,0.7999999999680801,4.427004131063847,1.5,0.9898068078052478
26,0.00014648221152379587,0.7999999981815749,3.479468074676062,1.5,0.9969105846211038
27,0.00010314324881761174,0.7999999996462722,4.607890969686833,1.5,0.9652914005130088
28,0.00016561861824325154,0.7999999999980897,4.087549470034471,1.5,0.9971072336880932
